-20	0	0	1	0	0	0.024	0.001	0.157	16	0
-30	0.1	0.5	-1	0	0.1	0.48	0.03	3.21	24	0.5
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-25	0	0	1	0	0	0.18	0.01	1.21	20	0
-30	0.1	0.5	-1	0	0.1	0.48	0.03	3.21	24	0.5
-20	0	0	1	0	0	0.024	0.001	0.157	16	0
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-25	0	0	1	0	0	0.18	0.01	1.21	20	0
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-25	0	0	1	0	0	0.18	0.01	1.21	20	0
-30	0.1	0.5	-1	0	0.1	0.48	0.03	3.21	24	0.5
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-20	0	0	1	0	0	0.024	0.001	0.157	16	0
-50	0.2	1	-2	0	0.2	0.8	0.05	5.32	40	1
-20	0	0	1	0	0	0.05	0.003	0.33	16	0
-35	0.1	0.5	0	0	0.1	0.6	0.038	3.99	28	0.5
-25	0	0	1	0	0	0.18	0.01	1.21	20	0
-35	0.1	0.5	0	0	0.1	0.6	0.038	3.99	28	0.5
-25	0	0	1	0	0	0.18	0.01	1.21	20	0
-40	0.2	1	-2	0	0.2	0.71	0.05	4.72	32	1
-10	0	0	0	0	0	0	0	0	0	0
-5	0	0	0	0	0	0	0	0	0	0
-50	0.2	1	-2	0	0.2	0.8	0.05	5.32	40	1
